,p10_mean,p50_mean,p90_mean,p10_dev,p50_dev,p90_dev
1a,1.099E+05,1.099E+05,1.099E+05,1.915E+00,1.915E+00,1.915E+00
1b,1.040E+05,1.040E+05,1.040E+05,3.902E+00,3.902E+00,3.902E+00
2,1.380E+04,1.410E+04,1.740E+04,1.676E+03,1.676E+03,1.676E+03
3a,0.000E+00,7.611E-04,1.708E-03,7.121E-04,7.121E-04,7.121E-04
3b,0.000E+00,0.000E+00,1.436E-05,7.849E-06,7.849E-06,7.849E-06
3c,1.115E-03,2.196E-03,3.286E-03,9.061E-04,9.061E-04,9.061E-04
3d,3.876E-06,6.683E-06,1.838E-05,6.585E-06,6.585E-06,6.585E-06
4a,8.051E-10,2.428E-09,1.306E-05,6.674E-06,6.674E-06,6.674E-06
4b,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
4c,4.287E-04,6.261E-04,8.368E-04,1.801E-04,1.801E-04,1.801E-04
4d,3.383E-09,1.328E-08,1.444E-07,7.455E-08,7.455E-08,7.455E-08
5,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
6,6.681E-06,1.196E-05,2.650E-05,8.921E-06,8.921E-06,8.921E-06